,Unnamed: 0,cik_str,ticker,title
7026,9456,1648960,DATSW,"DatChat, Inc."
7027,9457,1894693,SVREW,SaverOne 2014 Ltd.
7028,9458,1581005,SRRIX,Stone Ridge Trust II
7029,9459,1824893,SRZNW,"Surrozen, Inc./DE"
7030,9460,1824920,IONQ-WT,"IonQ, Inc."
7031,9461,1818644,LIDRW,"AEye, Inc."
7032,9462,46195,BOH-PA,BANK OF HAWAII CORP
7033,9463,46195,BOH-PB,BANK OF HAWAII CORP
7034,9464,2002038,LEGT-WT,Legato Merger Corp. III
7035,9465,2002038,LEGT-UN,Legato Merger Corp. III
7036,9466,1114446,AMUB,UBS AG
7037,9467,1114446,BDCX,UBS AG
7038,9468,1114446,BDCZ,UBS AG
7039,9469,1114446,CEFD,UBS AG
7040,9470,1114446,UCIB,UBS AG
7041,9471,1114446,USML,UBS AG
7042,9472,1114446,PFFL,UBS AG
7043,9473,1114446,QULL,UBS AG
7044,9474,1114446,SCDL,UBS AG
7045,9475,1114446,SMHB,UBS AG
7046,9476,1114446,MLPB,UBS AG
7047,9477,1114446,MLPR,UBS AG
7048,9478,1114446,MTUL,UBS AG
7049,9479,1114446,MVRL,UBS AG
7050,9480,1114446,HDLB,UBS AG
7051,9481,1114446,IFED,UBS AG
7052,9482,1114446,IWDL,UBS AG
7053,9483,1114446,IWFL,UBS AG
7054,9484,1114446,IWML,UBS AG
7055,9485,1308106,SEAL-PA,Seapeak LLC
7056,9486,1308106,SEAL-PB,Seapeak LLC
7057,9487,1945422,OAKUU,Oak Woods Acquisition Corp
7058,9488,1945422,OAKUR,Oak Woods Acquisition Corp
7059,9489,1945422,OAKUW,Oak Woods Acquisition Corp
7060,9490,892553,GTLS-PB,CHART INDUSTRIES INC
7061,9491,727273,CDZIP,CADIZ INC
7062,9492,1756404,PDSKX,Principal Real Asset Fund
7063,9493,1786248,NREF-PA,"NexPoint Real Estate Finance, Inc."
7064,9494,1785424,KPLTW,"Katapult Holdings, Inc."
7065,9495,1848437,CRTUF,Cartica Acquisition Corp
7066,9496,1848437,CRTWF,Cartica Acquisition Corp
7067,9497,1850059,FSHPR,Flag Ship Acquisition Corp
7068,9498,1850059,FSHPU,Flag Ship Acquisition Corp
7069,9499,2016072,MBAVU,M3-Brigade Acquisition V Corp.
7070,9500,2016072,MBAVW,M3-Brigade Acquisition V Corp.
7071,9501,1690536,FSREM,"FS Credit Real Estate Income Trust, Inc."
7072,9502,1690536,FSREI,"FS Credit Real Estate Income Trust, Inc."
7073,9503,1825452,ONFOW,"Onfolio Holdings, Inc"
7074,9504,1825452,ONFOP,"Onfolio Holdings, Inc"
7075,9505,1825248,FRBP,Franklin BSP Capital Corp
7076,9506,1751156,EIOAX,ELLINGTON INCOME OPPORTUNITIES FUND
7077,9507,1953984,BCGWW,"Binah Capital Group, Inc."
7078,9508,1699880,AMLIF,American Lithium Corp.
7079,9509,929008,WCC-PA,WESCO INTERNATIONAL INC
7080,9510,1748680,OWSCX,1WS Credit Income Fund
7081,9511,1821159,EVGOW,EVgo Inc.
7082,9512,1936255,FORLU,Four Leaf Acquisition Corp
7083,9513,1936255,FORLW,Four Leaf Acquisition Corp
7084,9514,66570,MNESP,MSA Safety Inc
7085,9515,1776909,CURIW,CuriosityStream Inc.
7086,9516,1585389,SSST,"SmartStop Self Storage REIT, Inc."
7087,9517,2000410,EURKR,Eureka Acquisition Corp
7088,9518,2000410,EURKU,Eureka Acquisition Corp
7089,9519,1075415,DHCNI,DIVERSIFIED HEALTHCARE TRUST
7090,9520,1075415,DHCNL,DIVERSIFIED HEALTHCARE TRUST
7091,9521,1845942,BNIXR,Bannix Acquisition Corp.
7092,9522,1845942,BNIXW,Bannix Acquisition Corp.
7093,9523,1854963,SHFSW,"SHF Holdings, Inc."
7094,9524,11544,WRB-PF,BERKLEY W R CORP
7095,9525,11544,WRB-PG,BERKLEY W R CORP
7096,9526,1438893,GNT-PA,"GAMCO Natural Resources, Gold & Income Trust"
7097,9527,11544,WRB-PH,BERKLEY W R CORP
7098,9528,1004724,RHEPA,"REGIONAL HEALTH PROPERTIES, INC"
7099,9529,1004724,RHEPB,"REGIONAL HEALTH PROPERTIES, INC"
7100,9530,1605888,SQLLW,ATLANTIC INTERNATIONAL CORP.
7101,9531,1224608,CNO-PA,"CNO Financial Group, Inc."
7102,9532,712771,CNOBP,"ConnectOne Bancorp, Inc."
7103,9533,19617,JPM-PJ,JPMORGAN CHASE & CO
7104,9534,19617,JPM-PK,JPMORGAN CHASE & CO
7105,9535,19617,JPM-PL,JPMORGAN CHASE & CO
7106,9536,19617,JPM-PM,JPMORGAN CHASE & CO
7107,9537,19617,AMJB,JPMORGAN CHASE & CO
7108,9538,39263,CFR-PB,"CULLEN/FROST BANKERS, INC."
7109,9539,1870143,RCFWF,Perception Capital Corp. IV
7110,9540,1735964,CCLFX,Cliffwater Corporate Lending Fund
7111,9541,1870143,RCFUF,Perception Capital Corp. IV
7112,9542,1829247,BFRGW,"BullFrog AI Holdings, Inc."
7113,9543,1875493,CSLUF,CSLM ACQUISITION CORP.
7114,9544,1875493,CSLRF,CSLM ACQUISITION CORP.
7115,9545,1875493,CSLWF,CSLM ACQUISITION CORP.
7116,9546,1847462,AYWWF,Ayr Wellness Inc.
7117,9547,1936258,NAMSW,NewAmsterdam Pharma Co N.V.
7118,9548,1560143,WYTC,WYTEC INTERNATIONAL INC
7119,9549,13372,NSARO,NSTAR ELECTRIC CO
7120,9550,13372,NSARP,NSTAR ELECTRIC CO
7121,9551,1527352,NXLIW,"Nexalin Technology, Inc."
7122,9552,1583771,CTRVP,"Hepion Pharmaceuticals, Inc."
7123,9553,1816708,OWLTW,"Owlet, Inc."
7124,9554,1377936,SAJ,SARATOGA INVESTMENT CORP.
7125,9555,1015383,POWWP,"AMMO, INC."
7126,9556,1377936,SAT,SARATOGA INVESTMENT CORP.
7127,9557,1377936,SAY,SARATOGA INVESTMENT CORP.
7128,9558,1377936,SAZ,SARATOGA INVESTMENT CORP.
7129,9559,1866838,IGTAR,Inception Growth Acquisition Ltd
7130,9560,1866838,IGTAU,Inception Growth Acquisition Ltd
7131,9561,1866838,IGTAW,Inception Growth Acquisition Ltd
7132,9562,1866501,WBX-WT,Wallbox N.V.
7133,9563,1869601,EMCGR,Embrace Change Acquisition Corp.
